trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,10,-6.508509910272654,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,7,-109.70159290450765,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",25,12,-6.106785383891951,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,0,-50.801333866297476,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",20,0,-49.16983100345747,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-71.08007863520204,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",30,0,-109.71793898518386,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",30,0,-130.5417225584596,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",25,0,-39.72522721176947,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,12,-4.616013397710911,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",30,13,29.477628104311503,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-173.29078302205156,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",25,5,-18.63816352984314,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,0,-179.40536878675465,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",20,0,-39.33794306648565,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",30,0,-32.21162549084295,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",25,11,1.3212132413159288,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,0,-46.388526381393326,"{0: 24, 1: 2, 2: 1, 3: 3, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",25,0,-36.71266637831178,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,3,-100.04641618170085,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 2}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,0,7.408414547100945,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,0,0.2529806136457955,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",25,0,-36.55716847442162,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,4,-32.54870731957507,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",25,0,-114.96026088638135,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,8,-38.34455767203759,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,3,-13.146356989851236,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",30,0,-108.43620136099219,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,6,4.352184255605417,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,8,-130.19772536357985,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 3}",1
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",25,9,-1.5593862010819537,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,2,-119.67386427843402,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",30,15,-15.47580853179407,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",25,7,-5.072326469205461,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",20,0,-32.43009900843057,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,14,-13.608754600809846,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",20,0,-36.8925541532278,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",30,5,-55.98770015635922,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,13,0.6342408844328458,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,-27.852011281271903,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",30,0,-33.58160723245045,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,0,-22.88204689891999,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",25,17,-27.65869129007897,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,0,-15.879425089554518,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",25,0,-1.564577740335167,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,19,10.625416332696709,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
