trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.5, 'e': 0.08676711527143822}",30,8,-20.91655704919204,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.08503177296600946}",20,0,12.78249882077065,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.08333113750668926}",20,0,-14.462554800504908,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.08166451475655548}",25,8,4.316751501330877,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.08003122446142437}",30,10,20.08631037125218,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.07843059997219588}",20,8,13.39781569607633,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.07686198797275196}",35,15,30.673333331760286,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.07532474821329692}",20,8,2.2637916121291406,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.07381825324903098}",20,12,-42.9138309528719,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.07234188818405035}",30,2,-93.14163997053215,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 3}",1
131,False,"{'a': 0.5, 'e': 0.07089505042036935}",20,1,17.554223271442293,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.06947714941196197}",35,12,-23.80300921666774,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.06808760642372272}",20,12,12.691372004576863,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.06672585429524826}",20,3,18.45795464706389,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
